32000,32000,32000, 36 months, 11.99%,1062.71,B
7000,7000,7000, 36 months,  7.97%,219.26,A
16000,16000,16000, 36 months,  7.97%,501.17,A
33000,33000,33000, 36 months,  7.21%,1022.12,A
40000,40000,40000, 60 months, 15.05%,952.65,C
12000,12000,12000, 36 months,  7.97%,375.88,A
15000,15000,15000, 60 months, 30.89%,493.54,G
4800,4800,4800, 36 months, 19.03%,176.03,D
