Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","disbursement_method","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","32000","32000","32000"," 36 months"," 11.99%","1062.71","B","B5","Nurse","10+ years","MORTGAGE","155000","Source Verified","Sep-2017","Current","n","","","credit_card","Credit card refinancing","080xx","NJ","12.35","2","Sep-2005","1","10","","20","0","48309","34.1%","42","w","31257.02","31257.02","1020.08","1020.08","742.98","277.10","0.0","0.0","0.0","Nov-2017","1062.71","Dec-2017","Nov-2017","0","","1","Individual","","","","0","0","405751","2","1","1","1","8","15582","78","4","7","14049","40","142600","0","2","2","8","22542","81313","34.5","0","0","91","144","1","1","3","1","24","1","10","0","7","10","12","27","3","18","36","10","20","0","0","0","5","94.9","0","0","0","527034","63891","124200","20034","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","7000","7000","7000"," 36 months","  7.97%","219.26","A","A5","CSM","10+ years","RENT","32000","Source Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","604xx","IL","12.27","0","Dec-2003","1","","89","13","1","7736","22.8%","20","w","6777.23","6777.23","263.06","263.06","222.77","40.29","0.0","0.0","0.0","Nov-2017","269.26","Dec-2017","Nov-2017","0","","1","Individual","","","","0","0","7736","0","0","0","0","26","0","","1","5","3446","23","33900","3","0","5","5","645","11049","38.6","0","0","165","145","11","11","0","11","","1","","0","3","8","3","6","2","13","18","8","13","0","0","0","1","100","0","1","0","33900","7736","18000","0","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","16000","16000","16000"," 36 months","  7.97%","501.17","A","A5","Senior Investigator","5 years","RENT","79077","Not Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","223xx","VA","15.94","0","Jun-2000","0","38","","12","0","16217","57.7%","20","w","15605.10","15605.10","487.0","487.00","394.90","92.10","0.0","0.0","0.0","Nov-2017","501.17","Dec-2017","Nov-2017","0","63","1","Individual","","","","0","0","128572","0","1","0","0","38","112355","","0","0","2959","58","28100","0","0","0","0","10714","336","90.9","0","0","145","207","32","32","0","206","","","38","2","2","11","2","2","9","11","11","11","12","0","0","0","0","78.9","100","0","0","125018","128572","3700","96918","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","33000","33000","33000"," 36 months","  7.21%","1022.12","A","A3","Registered Nurse","< 1 year","MORTGAGE","107000","Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","750xx","TX","19.06","0","Dec-2005","0","","","25","0","18533","16.1%","52","w","32176.16","32176.16","995.68","995.68","823.84","171.84","0.0","0.0","0.0","Nov-2017","1022.12","Dec-2017","Sep-2017","0","","1","Joint App","163000","17.87","Source Verified","0","0","244459","2","2","0","0","46","29686","42","3","6","9317","22","115000","0","1","0","6","9778","65368","20","0","0","141","133","5","5","2","6","","19","","0","4","10","10","19","12","22","38","10","25","0","0","0","3","100","0","0","0","404510","48219","81700","73015","48968","Feb-2007","0","2","13","81.4","2","28","0","0","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","40000","40000","40000"," 60 months"," 15.05%","952.65","C","C4","Driver","9 years","MORTGAGE","120000","Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","778xx","TX","31.11","0","Apr-2002","0","","","12","0","13389","20.7%","26","w","39549.02","39549.02","885.76","885.76","450.98","434.78","0.0","0.0","0.0","Nov-2017","952.65","Dec-2017","Nov-2017","0","","1","Individual","","","","0","0","227506","2","3","2","4","3","140872","26","0","0","10609","22","64600","2","3","1","4","20682","51211","20.7","0","0","122","185","26","3","4","26","","11","","0","4","4","6","8","9","7","13","4","12","0","0","0","2","100","0","0","0","367745","154261","64600","168145","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","12000","12000","12000"," 36 months","  7.97%","375.88","A","A5","associate","10+ years","OWN","42000","Source Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","923xx","CA","27.74","0","Jun-1996","0","","80","9","1","11457","37%","16","w","11703.82","11703.82","383.85","383.85","296.18","87.67","0.0","0.0","0.0","Nov-2017","394.48","Dec-2017","Nov-2017","0","","1","Individual","","","","0","0","30502","1","2","1","3","8","19045","73","2","4","7117","53","31000","1","1","2","7","3389","7144","53.9","0","0","131","255","1","1","0","14","","8","","0","2","6","2","2","7","7","9","6","9","0","0","0","3","100","0","1","0","57180","30502","15500","26180","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","15000"," 60 months"," 30.89%","493.54","G","G3","Case Manager 2","< 1 year","OWN","41000","Verified","Sep-2017","Current","n","","","credit_card","Credit card refinancing","114xx","NY","37.73","0","Nov-2004","0","","","8","0","9984","67%","20","w","14892.58","14892.58","442.06","442.06","107.42","334.64","0.0","0.0","0.0","Nov-2017","493.54","Dec-2017","Nov-2017","0","","1","Individual","","","","0","0","37953","2","3","1","4","3","27969","81","2","3","8120","77","14900","3","1","0","7","4744","1948","83.6","0","0","154","127","0","0","0","9","","13","","0","3","4","3","5","13","4","7","4","8","0","0","0","3","100","66.7","0","0","49259","37953","11900","34359","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","4800","4800","4800"," 36 months"," 19.03%","176.03","D","D3","","n/a","RENT","13320","Verified","Sep-2017","Current","n","","","debt_consolidation","Debt consolidation","615xx","IL","64.14","1","May-2005","1","6","94","11","1","3067","23.2%","26","w","4700.09","4700.09","165.88","165.88","99.91","65.97","0.0","0.0","0.0","Nov-2017","176.03","Dec-2017","Nov-2017","0","6","1","Joint App","48320","17.68","Source Verified","0","0","24153","3","2","1","1","4","21086","72","2","3","1185","57","13200","3","12","2","4","2196","2241","51.3","0","0","148","93","1","1","1","1","","4","31","1","3","6","3","4","15","9","10","6","11","0","0","1","3","88.5","0","1","0","42570","24153","4600","29370","8061","Nov-2004","2","1","8","42.1","2","7","0","0","6","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
